year	rot_year	rot_cycle	scenario	field	Crop	CC	GCseeded	yield_MC	yield_CC	C_manure	stock
2000	1	1	Equal	4ha	Maize	CC	.	11211	285	2000	conv_high
2001	2	1	Equal	4ha	Maize	CC	.	11211	285	1680	conv_high
2002	3	1	Equal	4ha	Maize	CC	.	11211	285	1680	conv_high
2003	4	1	Equal	4ha	Maize	.	.	11211	.	1680	conv_high
2004	5	1	Equal	4ha	Grain	.	.	4505	.	1870	conv_high
2005	1	2	Equal	4ha	Maize	CC	.	11211	285	2000	conv_high
2006	2	2	Equal	4ha	Maize	CC	.	11211	285	1680	conv_high
2007	3	2	Equal	4ha	Maize	CC	.	11211	285	1680	conv_high
2008	4	2	Equal	4ha	Maize	.	.	11211	.	1680	conv_high
2009	5	2	Equal	4ha	Grain	.	.	4505	.	1870	conv_high
2010	1	3	Equal	4ha	Maize	CC	.	11211	285	2000	conv_high
2011	2	3	Equal	4ha	Maize	CC	.	11211	285	1680	conv_high
2012	3	3	Equal	4ha	Maize	CC	.	11211	285	1680	conv_high
2013	4	3	Equal	4ha	Maize	.	.	11211	.	1680	conv_high
2014	5	3	Equal	4ha	Grain	.	.	4505	.	1870	conv_high
2015	1	4	Equal	4ha	Maize	CC	.	11211	285	2000	conv_high
2016	2	4	Equal	4ha	Maize	CC	.	11211	285	1680	conv_high
2017	3	4	Equal	4ha	Maize	CC	.	11211	285	1680	conv_high
2018	4	4	Equal	4ha	Maize	.	.	11211	.	1680	conv_high
2019	5	4	Equal	4ha	Grain	.	.	4505	.	1870	conv_high
2000	1	1	Equal	7ha	Maize	CC	.	11211	285	2000	conv_high
2001	2	1	Equal	7ha	Maize	CC	.	11211	285	1680	conv_high
2002	3	1	Equal	7ha	Maize	CC	.	11211	285	1680	conv_high
2003	4	1	Equal	7ha	Maize	CC	.	11211	285	1680	conv_high
2004	5	1	Equal	7ha	Grain	.	.	4505	.	1550	conv_high
2005	1	2	Equal	7ha	Maize	CC	.	11211	285	2000	conv_high
2006	2	2	Equal	7ha	Maize	CC	.	11211	285	1680	conv_high
2007	3	2	Equal	7ha	Maize	CC	.	11211	285	1680	conv_high
2008	4	2	Equal	7ha	Maize	CC	.	11211	285	1680	conv_high
2009	5	2	Equal	7ha	Grain	.	.	4505	.	1550	conv_high
2010	1	3	Equal	7ha	Maize	CC	.	11211	285	2000	conv_high
2011	2	3	Equal	7ha	Maize	CC	.	11211	285	1680	conv_high
2012	3	3	Equal	7ha	Maize	CC	.	11211	285	1680	conv_high
2013	4	3	Equal	7ha	Maize	CC	.	11211	285	1680	conv_high
2014	5	3	Equal	7ha	Grain	.	.	4505	.	1550	conv_high
2015	1	4	Equal	7ha	Maize	CC	.	11211	285	2000	conv_high
2016	2	4	Equal	7ha	Maize	CC	.	11211	285	1680	conv_high
2017	3	4	Equal	7ha	Maize	CC	.	11211	285	1680	conv_high
2018	4	4	Equal	7ha	Maize	CC	.	11211	285	1680	conv_high
2019	5	4	Equal	7ha	Grain	.	.	4505	.	1550	conv_high
2000	1	1	Equal	9ha	Grass	.	.	10167	.	3930	conv_high
2001	2	1	Equal	9ha	Grass	.	.	9195	.	3930	conv_high
2002	3	1	Equal	9ha	Grass	.	.	8597	.	3930	conv_high
2003	4	1	Equal	9ha	Grass	.	.	8447	.	3930	conv_high
2004	5	1	Equal	9ha	Grain	.	GCs	4505	1100	1040	conv_high
2005	1	2	Equal	9ha	Grass	.	.	10167	.	3930	conv_high
2006	2	2	Equal	9ha	Grass	.	.	9195	.	3930	conv_high
2007	3	2	Equal	9ha	Grass	.	.	8597	.	3930	conv_high
2008	4	2	Equal	9ha	Grass	.	.	8447	.	3930	conv_high
2009	5	2	Equal	9ha	Grain	.	GCs	4505	1100	1040	conv_high
2010	1	3	Equal	9ha	Grass	.	.	10167	.	3930	conv_high
2011	2	3	Equal	9ha	Grass	.	.	9195	.	3930	conv_high
2012	3	3	Equal	9ha	Grass	.	.	8597	.	3930	conv_high
2013	4	3	Equal	9ha	Grass	.	.	8447	.	3930	conv_high
2014	5	3	Equal	9ha	Grain	.	GCs	4505	1100	1040	conv_high
2015	1	4	Equal	9ha	Grass	.	.	10167	.	3930	conv_high
2016	2	4	Equal	9ha	Grass	.	.	9195	.	3930	conv_high
2017	3	4	Equal	9ha	Grass	.	.	8597	.	3930	conv_high
2018	4	4	Equal	9ha	Grass	.	.	8447	.	3930	conv_high
2019	5	4	Equal	9ha	Grain	.	GCs	4505	1100	1040	conv_high
2000	1	1	Equal	4ha	Maize	CC	.	11211	285	1650	conv_low
2001	2	1	Equal	4ha	Maize	CC	.	11211	285	1380	conv_low
2002	3	1	Equal	4ha	Grain	CC	.	4505	1100	1270	conv_low
2003	4	1	Equal	4ha	Grain	.	.	4505	.	1270	conv_low
2004	5	1	Equal	4ha	Grain	.	.	4505	.	1540	conv_low
2005	1	2	Equal	4ha	Maize	CC	.	11211	285	1650	conv_low
2006	2	2	Equal	4ha	Maize	CC	.	11211	285	1380	conv_low
2007	3	2	Equal	4ha	Grain	CC	.	4505	1100	1270	conv_low
2008	4	2	Equal	4ha	Grain	.	.	4505	.	1270	conv_low
2009	5	2	Equal	4ha	Grain	.	.	4505	.	1540	conv_low
2010	1	3	Equal	4ha	Maize	CC	.	11211	285	1650	conv_low
2011	2	3	Equal	4ha	Maize	CC	.	11211	285	1380	conv_low
2012	3	3	Equal	4ha	Grain	CC	.	4505	1100	1270	conv_low
2013	4	3	Equal	4ha	Grain	.	.	4505	.	1270	conv_low
2014	5	3	Equal	4ha	Grain	.	.	4505	.	1540	conv_low
2015	1	4	Equal	4ha	Maize	CC	.	11211	285	1650	conv_low
2016	2	4	Equal	4ha	Maize	CC	.	11211	285	1380	conv_low
2017	3	4	Equal	4ha	Grain	CC	.	4505	1100	1270	conv_low
2018	4	4	Equal	4ha	Grain	.	.	4505	.	1270	conv_low
2019	5	4	Equal	4ha	Grain	.	.	4505	.	1540	conv_low
2000	1	1	Equal	7ha	Grass	.	.	10167	.	3230	conv_low
2001	2	1	Equal	7ha	Grass	.	.	9195	.	3230	conv_low
2002	3	1	Equal	7ha	Grass	.	.	8597	.	3230	conv_low
2003	4	1	Equal	7ha	Grass	.	.	8447	.	3230	conv_low
2004	5	1	Equal	7ha	Grain	.	GCs	4505	1100	850	conv_low
2005	1	2	Equal	7ha	Grass	.	.	10167	.	3230	conv_low
2006	2	2	Equal	7ha	Grass	.	.	9195	.	3230	conv_low
2007	3	2	Equal	7ha	Grass	.	.	8597	.	3230	conv_low
2008	4	2	Equal	7ha	Grass	.	.	8447	.	3230	conv_low
2009	5	2	Equal	7ha	Grain	.	GCs	4505	1100	850	conv_low
2010	1	3	Equal	7ha	Grass	.	.	10167	.	3230	conv_low
2011	2	3	Equal	7ha	Grass	.	.	9195	.	3230	conv_low
2012	3	3	Equal	7ha	Grass	.	.	8597	.	3230	conv_low
2013	4	3	Equal	7ha	Grass	.	.	8447	.	3230	conv_low
2014	5	3	Equal	7ha	Grain	.	GCs	4505	1100	850	conv_low
2015	1	4	Equal	7ha	Grass	.	.	10167	.	3230	conv_low
2016	2	4	Equal	7ha	Grass	.	.	9195	.	3230	conv_low
2017	3	4	Equal	7ha	Grass	.	.	8597	.	3230	conv_low
2018	4	4	Equal	7ha	Grass	.	.	8447	.	3230	conv_low
2019	5	4	Equal	7ha	Grain	.	GCs	4505	1100	850	conv_low
2000	1	1	Equal	9ha	Maize	CC	.	11211	285	1650	conv_low
2001	2	1	Equal	9ha	Maize	CC	.	11211	285	1380	conv_low
2002	3	1	Equal	9ha	Maize	.	.	11211	.	1380	conv_low
2003	4	1	Equal	9ha	Grain	.	.	4505	.	1540	conv_low
2004	5	1	Equal	9ha	Grain	.	.	4505	.	1540	conv_low
2005	1	2	Equal	9ha	Maize	CC	.	11211	285	1650	conv_low
2006	2	2	Equal	9ha	Maize	CC	.	11211	285	1380	conv_low
2007	3	2	Equal	9ha	Maize	.	.	11211	.	1380	conv_low
2008	4	2	Equal	9ha	Grain	.	.	4505	.	1540	conv_low
2009	5	2	Equal	9ha	Grain	.	.	4505	.	1540	conv_low
2010	1	3	Equal	9ha	Maize	CC	.	11211	285	1650	conv_low
2011	2	3	Equal	9ha	Maize	CC	.	11211	285	1380	conv_low
2012	3	3	Equal	9ha	Maize	.	.	11211	.	1380	conv_low
2013	4	3	Equal	9ha	Grain	.	.	4505	.	1540	conv_low
2014	5	3	Equal	9ha	Grain	.	.	4505	.	1540	conv_low
2015	1	4	Equal	9ha	Maize	CC	.	11211	285	1650	conv_low
2016	2	4	Equal	9ha	Maize	CC	.	11211	285	1380	conv_low
2017	3	4	Equal	9ha	Maize	.	.	11211	.	1380	conv_low
2018	4	4	Equal	9ha	Grain	.	.	4505	.	1540	conv_low
2019	5	4	Equal	9ha	Grain	.	.	4505	.	1540	conv_low
2000	1	1	Equal	4ha	Maize	.	.	9603	.	920	org_org
2001	2	1	Equal	4ha	Grain	.	.	3485	.	860	org_org
2002	3	1	Equal	4ha	Pulses	.	.	2750	.	0	org_org
2003	4	1	Equal	4ha	Maize	.	.	9603	.	810	org_org
2004	5	1	Equal	4ha	Grain	.	.	3485	.	860	org_org
2005	1	2	Equal	4ha	Maize	.	.	9603	.	920	org_org
2006	2	2	Equal	4ha	Grain	.	.	3485	.	860	org_org
2007	3	2	Equal	4ha	Pulses	.	.	2750	.	0	org_org
2008	4	2	Equal	4ha	Maize	.	.	9603	.	810	org_org
2009	5	2	Equal	4ha	Grain	.	.	3485	.	860	org_org
2010	1	3	Equal	4ha	Maize	.	.	9603	.	920	org_org
2011	2	3	Equal	4ha	Grain	.	.	3485	.	860	org_org
2012	3	3	Equal	4ha	Pulses	.	.	2750	.	0	org_org
2013	4	3	Equal	4ha	Maize	.	.	9603	.	810	org_org
2014	5	3	Equal	4ha	Grain	.	.	3485	.	860	org_org
2015	1	4	Equal	4ha	Maize	.	.	9603	.	920	org_org
2016	2	4	Equal	4ha	Grain	.	.	3485	.	860	org_org
2017	3	4	Equal	4ha	Pulses	.	.	2750	.	0	org_org
2018	4	4	Equal	4ha	Maize	.	.	9603	.	810	org_org
2019	5	4	Equal	4ha	Grain	.	.	3485	.	860	org_org
2000	1	1	Equal	7ha	Grass	.	.	7930	.	1800	org_org
2001	2	1	Equal	7ha	Grass	.	.	7172	.	1800	org_org
2002	3	1	Equal	7ha	Grass	.	.	6705	.	1800	org_org
2003	4	1	Equal	7ha	Grain	CC	.	3485	770	470	org_org
2004	5	1	Equal	7ha	Grain	.	GCs	3485	770	710	org_org
2005	1	2	Equal	7ha	Grass	.	.	7930	.	1800	org_org
2006	2	2	Equal	7ha	Grass	.	.	7172	.	1800	org_org
2007	3	2	Equal	7ha	Grass	.	.	6705	.	1800	org_org
2008	4	2	Equal	7ha	Grain	CC	.	3485	770	470	org_org
2009	5	2	Equal	7ha	Grain	.	GCs	3485	770	710	org_org
2010	1	3	Equal	7ha	Grass	.	.	7930	.	1800	org_org
2011	2	3	Equal	7ha	Grass	.	.	7172	.	1800	org_org
2012	3	3	Equal	7ha	Grass	.	.	6705	.	1800	org_org
2013	4	3	Equal	7ha	Grain	CC	.	3485	770	470	org_org
2014	5	3	Equal	7ha	Grain	.	GCs	3485	770	710	org_org
2015	1	4	Equal	7ha	Grass	.	.	7930	.	1800	org_org
2016	2	4	Equal	7ha	Grass	.	.	7172	.	1800	org_org
2017	3	4	Equal	7ha	Grass	.	.	6705	.	1800	org_org
2018	4	4	Equal	7ha	Grain	CC	.	3485	770	470	org_org
2019	5	4	Equal	7ha	Grain	.	GCs	3485	770	710	org_org
2000	1	1	Equal	9ha	Grass	.	.	7930	.	1800	org_org
2001	2	1	Equal	9ha	Grass	.	.	7172	.	1800	org_org
2002	3	1	Equal	9ha	Grass	.	.	6705	.	1800	org_org
2003	4	1	Equal	9ha	Grass	.	.	6589	.	1800	org_org
2004	5	1	Equal	9ha	Grain	.	GCs	3485	770	470	org_org
2005	1	2	Equal	9ha	Grass	.	.	7930	.	1800	org_org
2006	2	2	Equal	9ha	Grass	.	.	7172	.	1800	org_org
2007	3	2	Equal	9ha	Grass	.	.	6705	.	1800	org_org
2008	4	2	Equal	9ha	Grass	.	.	6589	.	1800	org_org
2009	5	2	Equal	9ha	Grain	.	GCs	3485	770	470	org_org
2010	1	3	Equal	9ha	Grass	.	.	7930	.	1800	org_org
2011	2	3	Equal	9ha	Grass	.	.	7172	.	1800	org_org
2012	3	3	Equal	9ha	Grass	.	.	6705	.	1800	org_org
2013	4	3	Equal	9ha	Grass	.	.	6589	.	1800	org_org
2014	5	3	Equal	9ha	Grain	.	GCs	3485	770	470	org_org
2015	1	4	Equal	9ha	Grass	.	.	7930	.	1800	org_org
2016	2	4	Equal	9ha	Grass	.	.	7172	.	1800	org_org
2017	3	4	Equal	9ha	Grass	.	.	6705	.	1800	org_org
2018	4	4	Equal	9ha	Grass	.	.	6589	.	1800	org_org
2019	5	4	Equal	9ha	Grain	.	GCs	3485	770	470	org_org
2000	1	1	More	4ha	Grass	.	.	10167	.	3480	conv_high
2001	2	1	More	4ha	Grass	.	.	9195	.	3480	conv_high
2002	3	1	More	4ha	Grass	.	.	8597	.	3480	conv_high
2003	4	1	More	4ha	Grass	.	.	8447	.	3480	conv_high
2004	5	1	More	4ha	Grain	.	GCs	4505	1100	920	conv_high
2005	1	2	More	4ha	Grass	.	.	10167	.	3480	conv_high
2006	2	2	More	4ha	Grass	.	.	9195	.	3480	conv_high
2007	3	2	More	4ha	Grass	.	.	8597	.	3480	conv_high
2008	4	2	More	4ha	Grass	.	.	8447	.	3480	conv_high
2009	5	2	More	4ha	Grain	.	GCs	4505	1100	920	conv_high
2010	1	3	More	4ha	Grass	.	.	10167	.	3480	conv_high
2011	2	3	More	4ha	Grass	.	.	9195	.	3480	conv_high
2012	3	3	More	4ha	Grass	.	.	8597	.	3480	conv_high
2013	4	3	More	4ha	Grass	.	.	8447	.	3480	conv_high
2014	5	3	More	4ha	Grain	.	GCs	4505	1100	920	conv_high
2015	1	4	More	4ha	Grass	.	.	10167	.	3480	conv_high
2016	2	4	More	4ha	Grass	.	.	9195	.	3480	conv_high
2017	3	4	More	4ha	Grass	.	.	8597	.	3480	conv_high
2018	4	4	More	4ha	Grass	.	.	8447	.	3480	conv_high
2019	5	4	More	4ha	Grain	.	GCs	4505	1100	920	conv_high
2000	1	1	More	7ha	Grass	.	.	10167	.	3480	conv_high
2001	2	1	More	7ha	Grass	.	.	9195	.	3480	conv_high
2002	3	1	More	7ha	Grass	.	.	8597	.	3480	conv_high
2003	4	1	More	7ha	Maize	CC	.	11211	285	1030	conv_high
2004	5	1	More	7ha	Grain	.	GCs	4505	1100	1370	conv_high
2005	1	2	More	7ha	Grass	.	.	10167	.	3480	conv_high
2006	2	2	More	7ha	Grass	.	.	9195	.	3480	conv_high
2007	3	2	More	7ha	Grass	.	.	8597	.	3480	conv_high
2008	4	2	More	7ha	Maize	CC	.	11211	285	1030	conv_high
2009	5	2	More	7ha	Grain	.	GCs	4505	1100	1370	conv_high
2010	1	3	More	7ha	Grass	.	.	10167	.	3480	conv_high
2011	2	3	More	7ha	Grass	.	.	9195	.	3480	conv_high
2012	3	3	More	7ha	Grass	.	.	8597	.	3480	conv_high
2013	4	3	More	7ha	Maize	CC	.	11211	285	1030	conv_high
2014	5	3	More	7ha	Grain	.	GCs	4505	1100	1370	conv_high
2015	1	4	More	7ha	Grass	.	.	10167	.	3480	conv_high
2016	2	4	More	7ha	Grass	.	.	9195	.	3480	conv_high
2017	3	4	More	7ha	Grass	.	.	8597	.	3480	conv_high
2018	4	4	More	7ha	Maize	CC	.	11211	285	1030	conv_high
2019	5	4	More	7ha	Grain	.	GCs	4505	1100	1370	conv_high
2000	1	1	More	9ha	Grass	.	.	10167	.	3480	conv_high
2001	2	1	More	9ha	Grass	.	.	9195	.	3480	conv_high
2002	3	1	More	9ha	Maize	CC	.	11211	285	1030	conv_high
2003	4	1	More	9ha	Maize	CC	.	11211	285	1480	conv_high
2004	5	1	More	9ha	Grain	.	GCs	4505	1100	1370	conv_high
2005	1	2	More	9ha	Grass	.	.	10167	.	3480	conv_high
2006	2	2	More	9ha	Grass	.	.	9195	.	3480	conv_high
2007	3	2	More	9ha	Maize	CC	.	11211	285	1030	conv_high
2008	4	2	More	9ha	Maize	CC	.	11211	285	1480	conv_high
2009	5	2	More	9ha	Grain	.	GCs	4505	1100	1370	conv_high
2010	1	3	More	9ha	Grass	.	.	10167	.	3480	conv_high
2011	2	3	More	9ha	Grass	.	.	9195	.	3480	conv_high
2012	3	3	More	9ha	Maize	CC	.	11211	285	1030	conv_high
2013	4	3	More	9ha	Maize	CC	.	11211	285	1480	conv_high
2014	5	3	More	9ha	Grain	.	GCs	4505	1100	1370	conv_high
2015	1	4	More	9ha	Grass	.	.	10167	.	3480	conv_high
2016	2	4	More	9ha	Grass	.	.	9195	.	3480	conv_high
2017	3	4	More	9ha	Maize	CC	.	11211	285	1030	conv_high
2018	4	4	More	9ha	Maize	CC	.	11211	285	1480	conv_high
2019	5	4	More	9ha	Grain	.	GCs	4505	1100	1370	conv_high
2000	1	1	More	4ha	Grass	.	.	10167	.	3030	conv_low
2001	2	1	More	4ha	Grass	.	.	9195	.	3030	conv_low
2002	3	1	More	4ha	Grass	.	.	8597	.	3030	conv_low
2003	4	1	More	4ha	Grass	.	.	8447	.	3030	conv_low
